company,price,change
Halliburton Company (HAL),38.16,(-3.44%)
Microsoft Corporation (MSFT),361.60,(+1.42%)
International Business Machines Corporation (IBM),148.91,(-0.04%)
General Electric Company (GE),112.02,(+0.21%)
Union Pacific Corporation (UNP),211.53,(-0.74%)
Costco Wholesale Corporation (COST),573.28,(+0.61%)
McDonald's Corporation (MCD),268.88,(-0.01%)
Visa Inc. (V),244.58,(+0.45%)
Walmart Inc. (WMT),166.52,(+0.99%)
The Walt Disney Company (DIS),84.07,(+0.06%)
3M Company (MMM),92.80,(-0.77%)
Intel Corporation (INTC),38.74,(+2.07%)
American Express Company (AXP),152.73,(-0.17%)
Apple Inc. (AAPL),181.54,(+1.29%)
The Boeing Company (BA),190.40,(-1.32%)
"Cisco Systems, Inc. (CSCO)",53.20,(-0.17%)
"The Goldman Sachs Group, Inc. (GS)",324.95,(+0.32%)
JPMorgan Chase & Co. (JPM),143.61,(-0.33%)
"Salesforce, Inc. (CRM)",212.14,(+2.28%)
Verizon Communications Inc. (VZ),35.96,(+0.89%)
